# Pipeline output for part538.mp4
# toast_templates=templates/toast_templates  min_score=0.55
# timer_model=timer_model.pth  timer_layout=configs/timer_layout_from_anchor.json
# fps=60.0  total_frames=2185933  duration=36432s
# coarse_step=30s  fine_pad=15s
# 26 coarse hits -> 26 regions -> 308 events

timestamp           frame   timer_text timer_conf template_name                  template_score
04:22:35.000       945300    11:11.111     0.8428 we_need_to_go                          0.9847
04:22:36.000       945360                  0.4905 we_need_to_go                          0.9862
04:22:37.000       945420                  0.4509 we_need_to_go                          0.9920
04:22:38.000       945480                  0.4573 we_need_to_go                          0.6618
04:34:16.000       987360                  0.4960 we_need_to_go                          0.9667
04:34:17.000       987420                  0.4960 we_need_to_go                          0.9845
04:34:18.000       987480                  0.4971 we_need_to_go                          0.9859
04:34:19.000       987540                  0.4965 we_need_to_go                          0.9853
04:34:23.000       987780                  0.4970 we_need_to_go                          0.9835
04:34:24.000       987840                  0.4918 we_need_to_go                          0.9906
04:34:29.000       988140                  0.4907 we_need_to_go                          0.9942
04:34:30.000       988200                  0.4932 we_need_to_go                          0.9894
04:34:31.000       988260                  0.4893 we_need_to_go                          0.6915
04:50:45.000      1046700                  0.4931 we_need_to_go                          0.9795
04:50:48.000      1046880                  0.4906 we_need_to_go                          0.9866
04:50:49.000      1046940                  0.4938 we_need_to_go                          0.9879
04:50:52.000      1047120                  0.4931 we_need_to_go                          0.9909
04:50:53.000      1047180    11:11.111     0.6416 we_need_to_go                          0.9652
04:50:56.000      1047360                  0.4864 we_need_to_go                          0.9849
04:50:57.000      1047420                  0.4964 we_need_to_go                          0.9893
04:51:00.000      1047600                  0.4901 we_need_to_go                          0.7951
05:23:25.000      1164300                  0.4450 we_need_to_go                          0.9863
05:23:26.000      1164360                  0.4364 we_need_to_go                          0.9903
05:23:27.000      1164420                  0.4910 we_need_to_go                          0.9840
05:23:29.000      1164540                  0.4956 we_need_to_go                          0.9860
05:23:30.000      1164600                  0.4993 we_need_to_go                          0.9878
05:23:31.000      1164660                  0.4928 we_need_to_go                          0.9840
05:23:34.000      1164840                  0.4955 we_need_to_go                          0.9849
05:23:35.000      1164900                  0.4917 we_need_to_go                          0.9844
05:23:36.000      1164960                  0.4969 we_need_to_go                          0.9890
05:23:37.000      1165020                  0.4921 we_need_to_go                          0.9843
06:02:22.000      1304520                  0.4367 we_need_to_go                          0.9360
06:02:23.000      1304580                  0.4362 we_need_to_go                          0.9661
06:02:24.000      1304640                  0.4353 we_need_to_go                          0.9906
06:02:25.000      1304700                  0.4381 we_need_to_go                          0.9848
06:02:26.000      1304760                  0.4380 we_need_to_go                          0.9926
06:02:27.000      1304820                  0.4375 we_need_to_go                          0.9913
06:02:28.000      1304880                  0.4595 we_need_to_go                          0.9906
06:02:29.000      1304940                  0.4686 we_need_to_go                          0.9926
06:02:30.000      1305000                  0.4623 we_need_to_go                          0.9941
06:22:30.000      1377000                  0.4538 we_need_to_go                          0.9547
06:22:31.000      1377060                  0.4354 we_need_to_go                          0.9524
06:22:32.000      1377120                  0.4379 we_need_to_go                          0.9904
06:22:33.000      1377180                  0.4362 we_need_to_go                          0.9923
06:22:34.000      1377240                  0.4954 we_need_to_go                          0.9866
06:22:37.000      1377420                  0.4820 we_need_to_go                          0.9890
06:22:38.000      1377480                  0.4896 we_need_to_go                          0.9878
06:22:39.000      1377540                  0.4896 we_need_to_go                          0.9857
06:22:41.000      1377660                  0.4918 we_need_to_go                          0.9875
06:22:42.000      1377720                  0.4876 we_need_to_go                          0.9868
06:22:43.000      1377780                  0.4894 we_need_to_go                          0.9902
06:49:55.000      1475700                  0.4240 we_need_to_go                          0.9873
06:49:56.000      1475760                  0.4351 we_need_to_go                          0.9890
06:49:57.000      1475820                  0.4376 we_need_to_go                          0.9905
06:49:58.000      1475880                  0.4372 we_need_to_go                          0.9879
06:49:59.000      1475940                  0.4354 we_need_to_go                          0.9562
06:50:00.000      1476000                  0.4353 we_need_to_go                          0.9877
06:50:01.000      1476060                  0.4671 we_need_to_go                          0.9884
06:50:02.000      1476120                  0.4642 we_need_to_go                          0.9869
06:50:03.000      1476180                  0.4629 we_need_to_go                          0.9896
07:01:28.000      1517280                  0.4628 we_need_to_go                          0.9840
07:01:29.000      1517340                  0.4356 we_need_to_go                          0.9841
07:01:30.000      1517400                  0.4916 we_need_to_go                          0.9881
07:01:32.000      1517520                  0.4887 we_need_to_go                          0.9876
07:01:33.000      1517580                  0.4909 we_need_to_go                          0.9879
07:01:34.000      1517640                  0.4972 we_need_to_go                          0.9895
07:01:38.000      1517880                  0.4953 we_need_to_go                          0.9876
07:01:39.000      1517940                  0.4988 we_need_to_go                          0.9823
07:01:40.000      1518000    11:11.111     0.8263 we_need_to_go                          0.9877
07:01:41.000      1518060                  0.4923 we_need_to_go                          0.9882
07:01:45.000      1518300                  0.4936 we_need_to_go                          0.9863
07:36:51.000      1644660                  0.4466 we_need_to_go                          0.9496
07:36:52.000      1644720                  0.4917 we_need_to_go                          0.9523
07:36:54.000      1644840                  0.4994 we_need_to_go                          0.9905
07:36:55.000      1644900                  0.4946 we_need_to_go                          0.9771
07:36:58.000      1645080                  0.4915 we_need_to_go                          0.9826
07:36:59.000      1645140                  0.4905 we_need_to_go                          0.9807
07:37:00.000      1645200                  0.4957 we_need_to_go                          0.9818
07:37:01.000      1645260    11:11.111     0.8197 we_need_to_go                          0.9859
07:37:03.000      1645380                  0.4917 we_need_to_go                          0.9852
07:37:04.000      1645440                  0.4921 we_need_to_go                          0.9857
07:37:05.000      1645500                  0.4665 we_need_to_go                          0.9916
07:37:06.000      1645560                  0.4582 we_need_to_go                          0.9857
07:46:15.000      1678500                  0.4347 we_need_to_go                          0.9928
07:46:16.000      1678560                  0.4347 we_need_to_go                          0.9927
07:46:17.000      1678620                  0.4656 we_need_to_go                          0.9926
07:46:18.000      1678680                  0.4657 we_need_to_go                          0.9924
07:46:19.000      1678740                  0.4648 we_need_to_go                          0.9950
07:46:20.000      1678800                  0.4645 we_need_to_go                          0.9950
07:46:21.000      1678860                  0.4646 we_need_to_go                          0.9950
07:46:22.000      1678920                  0.4646 we_need_to_go                          0.9950
07:46:23.000      1678980                  0.4647 we_need_to_go                          0.9949
07:46:24.000      1679040                  0.4649 we_need_to_go                          0.9956
07:46:25.000      1679100                  0.4649 we_need_to_go                          0.9956
07:46:26.000      1679160                  0.4654 we_need_to_go                          0.9953
07:46:27.000      1679220                  0.4652 we_need_to_go                          0.9950
07:46:28.000      1679280                  0.4639 we_need_to_go                          0.9911
07:46:29.000      1679340                  0.4667 we_need_to_go                          0.9833
07:46:30.000      1679400                  0.4556 we_need_to_go                          0.9930
07:46:32.000      1679520                  0.4671 we_need_to_go                          0.9892
07:46:33.000      1679580                  0.4665 we_need_to_go                          0.9877
07:46:35.000      1679700                  0.4686 we_need_to_go                          0.9877
07:46:36.000      1679760                  0.4947 we_need_to_go                          0.9845
07:46:37.000      1679820    11:11.111     0.8065 we_need_to_go                          0.9937
07:46:39.000      1679940                  0.4938 we_need_to_go                          0.9661
07:46:40.000      1680000                  0.4992 we_need_to_go                          0.8890
08:17:15.000      1790100                  0.3760 we_need_to_go                          0.9441
08:17:16.000      1790160                  0.4364 we_need_to_go                          0.9611
08:17:17.000      1790220                  0.4918 we_need_to_go                          0.9792
08:17:20.000      1790400                  0.4911 we_need_to_go                          0.9829
08:17:21.000      1790460                  0.4900 we_need_to_go                          0.9849
08:17:22.000      1790520                  0.4951 we_need_to_go                          0.9834
08:17:25.000      1790700                  0.4862 we_need_to_go                          0.9855
08:17:26.000      1790760                  0.4913 we_need_to_go                          0.9838
08:17:27.000      1790820                  0.4929 we_need_to_go                          0.9711
08:17:28.000      1790880                  0.4897 we_need_to_go                          0.9844
08:17:29.000      1790940                  0.4907 we_need_to_go                          0.9887
08:17:30.000      1791000                  0.4644 we_need_to_go                          0.9930
08:54:30.000      1924200                  0.4348 we_need_to_go                          0.9553
08:54:31.000      1924260                  0.4347 we_need_to_go                          0.9914
08:54:32.000      1924320                  0.4364 we_need_to_go                          0.9918
08:54:33.000      1924380                  0.4359 we_need_to_go                          0.9882
08:54:34.000      1924440                  0.4343 we_need_to_go                          0.9335
08:54:35.000      1924500                  0.4482 we_need_to_go                          0.9913
08:54:36.000      1924560                  0.4627 we_need_to_go                          0.9908
08:54:39.000      1924740                  0.4922 we_need_to_go                          0.9894
08:54:40.000      1924800                  0.4950 we_need_to_go                          0.9843
08:54:41.000      1924860                  0.4950 we_need_to_go                          0.8020
09:17:15.000      2006100                  0.4838 we_need_to_go                          0.9598
09:17:16.000      2006160                  0.4352 we_need_to_go                          0.9599
09:17:19.000      2006340                  0.5000 we_need_to_go                          0.9851
09:17:20.000      2006400    11:11.111     0.7432 we_need_to_go                          0.9522
09:17:23.000      2006580                  0.4936 we_need_to_go                          0.9945
09:17:24.000      2006640                  0.4933 we_need_to_go                          0.9898
09:17:25.000      2006700                  0.4898 we_need_to_go                          0.9912
09:17:26.000      2006760                  0.4917 we_need_to_go                          0.9936
09:17:27.000      2006820                  0.4668 we_need_to_go                          0.9973
09:17:28.000      2006880                  0.4649 we_need_to_go                          0.9605
09:17:29.000      2006940                  0.4670 we_need_to_go                          0.9577
09:17:30.000      2007000                  0.4613 we_need_to_go                          0.9841
09:28:30.000      2046600                  0.4341 we_need_to_go                          0.9589
09:28:31.000      2046660                  0.4522 we_need_to_go                          0.9957
09:28:32.000      2046720                  0.4644 we_need_to_go                          0.9968
09:28:33.000      2046780                  0.4564 we_need_to_go                          0.9904
09:28:34.000      2046840                  0.4625 we_need_to_go                          0.9981
09:28:35.000      2046900    11:11.111     0.8140 we_need_to_go                          0.9895
09:28:36.000      2046960                  0.4970 we_need_to_go                          0.9856
09:28:37.000      2047020                  0.4958 we_need_to_go                          0.9814
09:28:38.000      2047080                  0.4918 we_need_to_go                          0.9838
09:28:39.000      2047140                  0.4952 we_need_to_go                          0.9766
09:28:40.000      2047200                  0.4967 we_need_to_go                          0.9700
