run,run_start_timestamp,run_start_frame,run_end_timestamp,run_end_frame,toast_index,toast_timestamp,toast_frame,timer_text,timer_conf,toast_conf,template_name,timer_source
211,04:30:40.000,974400,04:31:15.983,976559,,,,,,,,
212,04:31:16.000,976560,04:31:41.983,978119,,,,,,,,
213,04:31:42.000,978120,04:32:03.983,979439,,,,,,,,
214,04:32:04.000,979440,04:32:47.983,982079,,,,,,,,
215,04:32:48.000,982080,04:34:03.983,986639,,,,,,,,
216,04:34:04.000,986640,04:34:31.983,988319,,,,,,,,
217,04:34:32.000,988320,04:37:51.983,1000319,,,,,,,,
218,04:37:52.000,1000320,04:38:33.983,1002839,,,,,,,,
219,04:38:34.000,1002840,04:38:57.983,1004279,,,,,,,,
220,04:38:58.000,1004280,04:39:25.983,1005959,,,,,,,,
221,04:39:26.000,1005960,04:40:17.983,1009079,,,,,,,,
222,04:40:18.000,1009080,04:40:55.983,1011359,,,,,,,,
223,04:40:56.000,1011360,04:41:17.983,1012679,,,,,,,,
224,04:41:18.000,1012680,04:42:09.983,1015799,,,,,,,,
225,04:42:10.000,1015800,04:43:07.983,1019279,,,,,,,,
226,04:43:08.000,1019280,04:43:37.983,1021079,,,,,,,,
227,04:43:38.000,1021080,04:44:03.983,1022639,,,,,,,,
228,04:44:04.000,1022640,04:44:29.983,1024199,,,,,,,,
229,04:44:30.000,1024200,04:44:51.983,1025519,,,,,,,,
230,04:44:52.000,1025520,04:45:53.983,1029239,,,,,,,,
231,04:45:54.000,1029240,04:46:21.983,1030919,,,,,,,,
232,04:46:22.000,1030920,04:46:45.983,1032359,,,,,,,,
233,04:46:46.000,1032360,04:47:19.983,1034399,,,,,,,,
234,04:47:20.000,1034400,04:47:39.983,1035599,,,,,,,,
235,04:47:40.000,1035600,04:48:39.983,1039199,,,,,,,,
236,04:48:40.000,1039200,04:49:17.983,1041479,,,,,,,,
237,04:49:18.000,1041480,04:49:41.983,1042919,,,,,,,,
238,04:49:42.000,1042920,04:50:09.983,1044599,,,,,,,,
239,04:50:10.000,1044600,04:50:49.983,1046999,,,,,,,,
240,04:50:50.000,1047000,04:51:19.983,1048799,,,,,,,,
241,04:51:20.000,1048800,04:55:21.983,1063319,,,,,,,,
242,04:55:22.000,1063320,04:55:41.983,1064519,,,,,,,,
243,04:55:42.000,1064520,04:56:25.983,1067159,,,,,,,,
244,04:56:26.000,1067160,05:00:05.983,1080359,,,,,,,,
245,05:00:06.000,1080360,05:00:53.983,1083239,,,,,,,,
246,05:00:54.000,1083240,05:01:29.983,1085399,,,,,,,,
247,05:01:30.000,1085400,05:02:11.983,1087919,,,,,,,,
248,05:02:12.000,1087920,05:06:41.983,1104119,1,05:06:15.900,1102554,04:01.353,0.6878,0.9764,toast1,anchor_refresh
249,05:06:42.000,1104120,05:07:05.983,1105559,,,,,,,,
250,05:07:06.000,1105560,05:07:27.983,1106879,,,,,,,,
251,05:07:28.000,1106880,05:07:47.983,1108079,,,,,,,,
252,05:07:48.000,1108080,05:08:07.983,1109279,,,,,,,,
253,05:08:08.000,1109280,05:10:43.983,1118639,,,,,,,,
254,05:10:44.000,1118640,05:16:23.983,1139039,1,05:14:25.433,1131926,03:32.498,0.6408,0.9808,toast1,anchor_refresh
255,05:16:24.000,1139040,05:16:53.983,1140839,,,,,,,,
256,05:16:54.000,1140840,05:18:53.983,1148039,,,,,,,,
257,05:18:54.000,1148040,05:19:21.983,1149719,,,,,,,,
258,05:19:22.000,1149720,05:19:47.983,1151279,,,,,,,,
259,05:19:48.000,1151280,05:25:41.983,1172519,1,05:23:47.050,1165623,03:41.028,0.6630,0.9778,toast1,anchor_refresh
260,05:25:42.000,1172520,05:26:01.983,1173719,,,,,,,,
261,05:26:02.000,1173720,05:26:25.983,1175159,,,,,,,,
262,05:26:26.000,1175160,05:26:57.983,1177079,,,,,,,,
263,05:26:58.000,1177080,05:27:51.983,1180319,,,,,,,,
264,05:27:52.000,1180320,05:28:23.983,1182239,,,,,,,,
265,05:28:24.000,1182240,05:28:59.983,1184399,,,,,,,,
266,05:29:00.000,1184400,05:29:29.983,1186199,,,,,,,,
267,05:29:30.000,1186200,05:30:03.983,1188239,,,,,,,,
268,05:30:04.000,1188240,05:30:35.983,1190159,,,,,,,,
269,05:30:36.000,1190160,05:32:17.983,1196279,,,,,,,,
270,05:32:18.000,1196280,05:32:39.983,1197599,,,,,,,,
271,05:32:40.000,1197600,05:33:31.983,1200719,,,,,,,,
272,05:33:32.000,1200720,05:34:03.983,1202639,,,,,,,,
273,05:34:04.000,1202640,05:34:49.983,1205399,,,,,,,,
274,05:34:50.000,1205400,05:37:21.983,1214519,,,,,,,,
275,05:37:22.000,1214520,05:41:13.983,1228439,,,,,,,,
276,05:41:14.000,1228440,05:53:15.983,1271759,1,05:44:53.250,1241595,03:21.257,0.7412,0.9784,toast1,anchor_refresh
276,05:41:14.000,1228440,05:53:15.983,1271759,2,05:47:08.400,1249704,05:18.902,0.6406,0.9786,toast2,anchor_refresh
276,05:41:14.000,1228440,05:53:15.983,1271759,3,05:52:55.933,1270556,10:28.836,0.6807,0.9845,toast3,anchor_refresh
277,05:53:16.000,1271760,05:54:07.983,1274879,,,,,,,,
278,05:54:08.000,1274880,05:57:53.983,1288439,,,,,,,,
279,05:57:54.000,1288440,06:01:19.983,1300799,1,06:00:58.250,1299495,02:45.907,0.6842,0.9767,toast1,anchor_refresh
280,06:01:20.000,1300800,06:02:01.983,1303319,,,,,,,,
281,06:02:02.000,1303320,06:02:37.983,1305479,,,,,,,,
282,06:02:38.000,1305480,06:03:25.983,1308359,,,,,,,,
283,06:03:26.000,1308360,06:08:11.983,1325519,1,06:07:34.183,1323251,03:59.197,0.6859,0.9897,toast1,anchor_refresh
284,06:08:12.000,1325520,06:08:33.983,1326839,,,,,,,,
285,06:08:34.000,1326840,06:17:59.983,1360799,1,06:11:27.500,1337250,02:44.586,0.7211,0.9782,toast1,anchor_refresh
285,06:08:34.000,1326840,06:17:59.983,1360799,2,06:13:46.250,1345575,04:49.449,0.6556,0.9824,toast2,anchor_refresh
286,06:18:00.000,1360800,06:18:19.983,1361999,,,,,,,,
287,06:18:20.000,1362000,06:23:25.983,1380359,1,06:20:21.233,1369274,02:03.090,0.6121,0.9772,toast1,anchor_refresh
288,06:23:26.000,1380360,06:23:59.983,1382399,,,,,,,,
289,06:24:00.000,1382400,06:24:23.983,1383839,,,,,,,,
290,06:24:24.000,1383840,06:24:49.983,1385399,,,,,,,,
291,06:24:50.000,1385400,06:25:21.983,1387319,,,,,,,,
292,06:25:22.000,1387320,06:25:43.983,1388639,,,,,,,,
293,06:25:44.000,1388640,06:26:15.983,1390559,,,,,,,,
294,06:26:16.000,1390560,06:26:39.983,1391999,,,,,,,,
295,06:26:40.000,1392000,06:30:17.983,1405079,,,,,,,,
296,06:30:18.000,1405080,06:30:45.983,1406759,,,,,,,,
297,06:30:46.000,1406760,06:38:15.983,1433759,1,06:36:04.217,1425853,05:00.138,0.6420,0.9756,toast1,anchor_refresh
298,06:38:16.000,1433760,06:39:05.983,1436759,,,,,,,,
299,06:39:06.000,1436760,06:39:39.983,1438799,,,,,,,,
300,06:39:40.000,1438800,06:40:05.983,1440359,,,,,,,,
301,06:40:06.000,1440360,06:41:29.983,1445399,,,,,,,,
302,06:41:30.000,1445400,06:41:59.983,1447199,,,,,,,,
303,06:42:00.000,1447200,07:02:09.983,1519799,1,06:45:32.883,1459973,03:12.007,0.6985,0.9771,toast1,anchor_refresh
304,07:02:10.000,1519800,07:02:45.983,1521959,,,,,,,,
305,07:02:46.000,1521960,07:03:05.983,1523159,,,,,,,,
306,07:03:06.000,1523160,07:03:59.983,1526399,,,,,,,,
307,07:04:00.000,1526400,07:04:25.983,1527959,,,,,,,,
308,07:04:26.000,1527960,07:04:49.983,1529399,,,,,,,,
309,07:04:50.000,1529400,07:15:03.983,1566239,1,07:08:23.333,1542200,02:20.647,0.7323,0.6901,toast1,anchor_refresh
309,07:04:50.000,1529400,07:15:03.983,1566239,2,07:11:10.467,1552228,05:47.885,0.6560,0.7423,toast2,anchor_refresh
310,07:15:04.000,1566240,07:15:51.983,1569119,,,,,,,,
311,07:15:52.000,1569120,07:20:31.983,1585919,,,,,,,,
312,07:20:32.000,1585920,07:20:55.983,1587359,,,,,,,,
313,07:20:56.000,1587360,07:21:17.983,1588679,,,,,,,,
314,07:21:18.000,1588680,07:21:49.983,1590599,,,,,,,,
315,07:21:50.000,1590600,07:22:13.983,1592039,,,,,,,,
316,07:22:14.000,1592040,07:23:33.983,1596839,,,,,,,,
317,07:23:34.000,1596840,07:35:57.983,1641479,1,07:27:14.783,1610087,03:31.199,0.6928,0.9771,toast1,anchor_refresh
317,07:23:34.000,1596840,07:35:57.983,1641479,2,07:29:26.850,1618011,05:22.724,0.7449,0.9814,toast2,anchor_refresh
318,07:35:58.000,1641480,07:36:21.983,1642919,,,,,,,,
319,07:36:22.000,1642920,07:36:55.983,1644959,,,,,,,,
320,07:36:56.000,1644960,07:37:21.983,1646519,,,,,,,,
321,07:37:22.000,1646520,07:37:53.983,1648439,,,,,,,,
322,07:37:54.000,1648440,07:38:35.983,1650959,,,,,,,,
323,07:38:36.000,1650960,07:39:19.983,1653599,,,,,,,,
324,07:39:20.000,1653600,07:41:03.983,1659839,,,,,,,,
325,07:41:04.000,1659840,07:41:55.983,1662959,,,,,,,,
326,07:41:56.000,1662960,07:46:23.983,1679039,,,,,,,,
327,07:46:24.000,1679040,07:46:45.983,1680359,,,,,,,,
328,07:46:46.000,1680360,07:47:13.983,1682039,,,,,,,,
329,07:47:14.000,1682040,07:47:47.983,1684079,,,,,,,,
330,07:47:48.000,1684080,07:48:31.983,1686719,,,,,,,,
331,07:48:32.000,1686720,07:48:59.983,1688399,,,,,,,,
332,07:49:00.000,1688400,07:53:47.983,1705679,,,,,,,,
333,07:53:48.000,1705680,07:54:17.983,1707479,,,,,,,,
334,07:54:18.000,1707480,07:54:53.983,1709639,,,,,,,,
335,07:54:54.000,1709640,07:55:21.983,1711319,,,,,,,,
336,07:55:22.000,1711320,07:55:49.983,1712999,,,,,,,,
